         15260839 function calls (15147323 primitive calls) in 18.043 seconds

   Ordered by: cumulative time
   List reduced from 5373 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000   22.355    7.452 C:\Users\janni\Code\conda\conda\plugins\reporter_backends\console.py:157(__exit__)
        1    0.000    0.000   14.578   14.578 C:\Users\janni\Code\conda\conda\notices\core.py:112(wrapper)
        1    0.000    0.000   14.565   14.565 C:\Users\janni\Code\conda\conda\cli\main_install.py:122(execute)
        1    0.000    0.000   14.565   14.565 C:\Users\janni\Code\conda\conda\cli\install.py:271(install)
        1    0.000    0.000   14.297   14.297 C:\Users\janni\Code\conda\conda\core\solve.py:116(solve_for_transaction)
        1    0.001    0.001   14.297   14.297 C:\Users\janni\Code\conda\conda\core\solve.py:195(solve_for_diff)
      8/7    0.000    0.000   14.268    2.038 C:\Users\janni\Code\conda\conda\common\io.py:106(decorated)
        3    0.000    0.000   13.406    4.469 C:\Users\janni\Code\conda\conda\plugins\reporter_backends\console.py:133(stop)
        1    0.000    0.000   13.237   13.237 C:\Users\janni\Code\conda-libmamba-solver\conda_libmamba_solver\solver.py:134(solve_final_state)
        7    0.000    0.000   12.316    1.759 C:\Users\janni\Code\conda-tempo\.pixi\envs\default\Lib\threading.py:1059(join)
        7    0.001    0.000   12.316    1.759 {method 'join' of '_thread._ThreadHandle' objects}
      8/3    0.000    0.000   11.854    3.951 C:\Users\janni\Code\conda-tempo\.pixi\envs\default\Lib\threading.py:1001(_bootstrap)
        1    0.000    0.000    7.475    7.475 C:\Users\janni\Code\conda-libmamba-solver\conda_libmamba_solver\solver.py:258(_collect_all_metadata)
        1    0.000    0.000    7.475    7.475 C:\Users\janni\Code\conda-libmamba-solver\conda_libmamba_solver\index.py:234(__init__)
        1    0.001    0.001    6.708    6.708 C:\Users\janni\Code\conda-libmamba-solver\conda_libmamba_solver\state.py:161(__init__)
        1    0.009    0.009    6.004    6.004 C:\Users\janni\Code\conda\conda\history.py:288(get_requested_specs_map)
       43    3.256    0.076    4.551    0.106 {built-in method time.sleep}
    20034    0.010    0.000    4.199    0.000 C:\Users\janni\Code\conda\conda\core\prefix_data.py:622(_prefix_records)
        2    0.000    0.000    4.179    2.090 C:\Users\janni\Code\conda\conda\core\prefix_data.py:541(iter_records)
        1    0.010    0.010    4.179    4.179 C:\Users\janni\Code\conda\conda\core\prefix_data.py:456(load)
